"Ice cream, regular, one-half gallon1",,,,,
Year,Retail price,Farm value,Farm share,,
,Dollars,,Percent,,
2000,3.45,0.56,16,,
2001,3.70,0.72,20,,
2002,3.73,0.52,14,,
2003,3.81,0.51,13,,
2004,3.84,0.74,19,,
2005,3.74,0.67,18,,
2006,3.75,0.55,15,,
2007,3.95,0.76,19,,
2008,4.21,0.72,17,,
2009,4.32,0.53,12,,
2010,4.46,0.76,17,,
2011,4.93,0.91,19,,
2012,5.04,0.76,15,,
2013,4.99,0.82,16,,
2014,4.89,1.05,22,,
2015,4.74,0.83,18,,
2016,4.76,0.80,17,,
2017,4.69,0.90,19,,
2018,4.74,0.85,18,,
1Estimates of farm value are based on minimum prices reported by USDA's Agricultural Marketing Service for Class II products. They do not account for over-order payments.,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"Source: USDA, Economic Research Service calculations, using ",,,,,
data on retail prices from the Bureau of Labor Statistics and data ,,,,,
on farm-gate prices published by USDA agencies.,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,dc
